,Date,Time,Open,High,Low,Close,todrop
2146,2015-11-19,17:00:00,1.52896,1.52902,1.52895,1.52902,0.0
2147,2015-11-20,17:00:00,1.51886,1.51887,1.51855,1.51858,0.0
2148,2015-11-21,17:00:00,1.51886,1.51887,1.51855,1.51858,0.0
2149,2015-11-22,17:00:00,1.51853,1.51854,1.51853,1.51854,0.0
2150,2015-11-23,17:00:00,1.51228,1.51244,1.51204,1.51212,0.0
2151,2015-11-24,17:00:00,1.5077,1.50784,1.5076,1.50783,0.0
2152,2015-11-25,17:00:00,1.51287,1.51289,1.51162,1.51162,0.0
2153,2015-11-26,17:00:00,1.51013,1.51015,1.51006,1.51006,0.0
2154,2015-11-27,17:00:00,1.50321,1.50342,1.50292,1.50292,0.0
2155,2015-11-28,17:00:00,1.50321,1.50342,1.50292,1.50292,0.0
2156,2015-11-29,17:00:00,1.50331,1.50331,1.50324,1.50324,0.0
2157,2015-11-30,17:00:00,1.5053,1.50563,1.5053,1.50543,0.0
2158,2015-12-01,17:00:00,1.50776,1.50819,1.50776,1.50815,0.0
2159,2015-12-02,17:00:00,1.49506,1.49508,1.49375,1.49443,0.0
2160,2015-12-03,17:00:00,1.51423,1.51437,1.51405,1.51437,0.0
2161,2015-12-04,17:00:00,1.51056,1.51065,1.51052,1.51065,0.0
2162,2015-12-05,17:00:00,1.51056,1.51065,1.51052,1.51065,0.0
2163,2015-12-06,17:00:00,1.51008,1.51008,1.51008,1.51008,0.0
2164,2015-12-07,17:00:00,1.50521,1.50544,1.50518,1.50543,0.0
2165,2015-12-08,17:00:00,1.50046,1.50071,1.50046,1.5007,0.0
2166,2015-12-09,17:00:00,1.5179,1.5179,1.51745,1.51764,0.0
2167,2015-12-10,17:00:00,1.51589,1.51604,1.51574,1.51597,0.0
2168,2015-12-11,17:00:00,1.5221,1.5221,1.52172,1.52175,0.0
2169,2015-12-12,17:00:00,1.5221,1.5221,1.52172,1.52175,0.0
2170,2015-12-13,17:00:00,1.52292,1.52297,1.52282,1.52297,0.0
2171,2015-12-14,17:00:00,1.51397,1.51415,1.51393,1.51412,0.0
